CPIAUCSL_PC1,UNRATE,FEDFUNDS,T10Y2Y,High,Low,SP500 Close,Volume,ADX,RSI,BB width
1985-11-01,3.51377,7.0,8.05,1.2005263157894737,197.91449966430665,196.33800048828124,197.44550018310548,122268500.0,36.740580587497405,73.39065292743051,0.3144378855727255
1985-12-01,3.79147,7.0,8.27,1.1123809523809522,208.06904674711683,206.15333266485305,207.25761922200522,133541904.76190476,38.05896641918031,77.48929321600035,0.33840590437913753
1986-01-01,3.97351,6.7,8.14,1.0514285714285714,209.30863536487925,206.99408929998225,208.19408971613103,130864090.9090909,39.34887061593812,77.8401169956067,0.3509450348695439
1986-02-01,3.19849,7.2,7.86,0.7368421052631579,219.9605255126953,217.55000144556948,219.36526168020148,152584210.52631578,41.04700301808333,81.53668637078967,0.36935309190220983
1986-03-01,2.15356,7.2,7.48,0.5639999999999998,233.34150009155275,230.75250091552735,232.3270004272461,160730000.0,43.09166373509258,84.72136227097127,0.397402784770803
1986-04-01,1.58879,7.1,6.99,0.604090909090909,239.4100015813654,236.33045543323863,237.96772835471413,147290909.0909091,45.16318533122793,85.86407337853464,0.4404862636704592
1986-05-01,1.6791,7.2,6.85,0.6423809523809524,239.3442840576172,236.86809430803572,238.45904758998327,127630476.1904762,47.0867410990679,85.96255454750094,0.46786012819956907
1986-06-01,1.76744,7.2,6.92,0.6147619047619047,246.38428678966704,243.75714329310827,245.29571460542223,126171428.57142857,49.06620762828583,87.2895105722378,0.4907427152008482
1986-07-01,1.67131,7.0,6.56,0.6368181818181817,241.79681743275034,238.94454539905894,240.17999891801313,137722727.27272728,50.07229473334427,81.11085370927846,0.49264883277311233
1986-08-01,1.57553,6.9,6.17,0.8395238095238097,245.7971423921131,243.3433321998233,245.0009511311849,128661904.76190476,51.1546804563731,82.3768343158245,0.4870880101970059
1986-09-01,1.75763,7.0,5.89,1.1014285714285716,240.442379906064,236.73809669131325,238.269047328404,150776190.47619048,51.08591097743795,74.83449111081639,0.47372120614224866
1986-10-01,1.56682,7.0,5.85,1.1472727272727274,238.18608557659647,235.99173968771228,237.35608706266984,131162608.69565217,50.90457192967964,73.84700109334858,0.4650701761897005
1986-11-01,1.2844,6.9,6.04,0.9738888888888889,245.9563156931024,243.45210426732115,245.0926328960218,154780526.31578946,51.138078849854445,76.65793184574109,0.4554865731651231
1986-12-01,1.18721,6.6,6.91,0.8409090909090909,249.78818026455966,247.24136421897194,248.60545418479225,148221363.63636363,51.53457061597787,77.82344293563112,0.4433240956852067
1987-01-01,1.36488,6.6,6.43,0.8585,265.78190249488466,261.7719050816127,264.51095145089283,192422857.14285713,52.51495204245812,82.16564768395504,0.44828900729607946
1987-02-01,1.91431,6.6,6.1,0.8526315789473684,282.2173670718544,278.6578963430304,280.9342153448808,183436842.10526314,53.87111227781612,85.35439674647279,0.4716647785292847
1987-03-01,2.84143,6.6,6.13,0.8240909090909092,293.81500244140625,290.52727300470525,292.47136480158025,180231818.1818182,55.3749352302281,87.09940142060188,0.5020395058843169
1987-04-01,3.67985,6.3,6.37,0.9985714285714287,292.1942850748698,286.5395231701079,289.3219052269345,187223809.52380952,56.23923252883368,84.15175944008836,0.5041145556135018
1987-05-01,3.66972,6.3,6.85,0.8515,291.28749694824216,286.8675003051758,289.1154983520508,170885000.0,57.041794306110305,83.9512386189432,0.4847539602494137
1987-06-01,3.74771,6.2,6.73,0.829090909090909,302.49727006392044,299.5690904097124,301.3840900767933,163409090.9090909,58.07026175055798,86.07517395952809,0.46946754215731445
1987-07-01,3.92694,6.1,6.58,1.0045454545454549,310.9931807084517,308.33272899280894,310.0872719504616,180290909.0909091,59.20988717954651,87.35375802384158,0.46817793437349176
1987-08-01,4.28832,6.0,6.73,1.0076190476190479,330.9652375720796,327.06714303152904,329.35809326171875,193447619.04761904,60.613959603914836,89.6253048838593,0.49284051626150505
1987-09-01,4.27273,5.9,7.22,1.0780952380952382,321.3661891392299,316.3857145763579,318.6609511602493,177295238.0952381,60.679051088288766,80.93475072621811,0.48517534688352654
1987-10-01,4.35572,6.0,7.29,1.1223809523809525,287.86272846568716,275.3050003051758,280.1640916304155,277022727.27272725,57.433867502654536,58.82732607373916,0.45517090819310435
1987-11-01,4.52899,5.8,6.69,1.1678947368421049,248.19299774169923,241.92799758911133,245.0085006713867,179476500.0,53.8924204817857,46.37069710943617,0.44476749699131
1987-12-01,4.33213,5.7,6.77,1.1299999999999997,242.81500036066228,238.20863619717684,240.9559097290039,178488636.36363637,50.758537369470616,45.18296313570057,0.44232467732980957
1988-01-01,4.12926,5.7,6.83,1.0357894736842106,253.0175018310547,247.0745002746582,250.47650299072265,174735000.0,47.338594978084686,48.51905492144699,0.4338298095387859
1988-02-01,3.9356,5.7,6.58,1.0315,259.69799880981446,256.018497467041,258.12799911499025,184662000.0,44.07312287350717,51.0950345576855,0.4268412465992792
1988-03-01,3.83244,5.7,6.58,1.1030434782608693,267.15913059400475,264.16391521951425,265.7373922596807,176216086.95652175,41.39220796811293,53.58254864548271,0.41295994445791373
